10	0	0	0	0	1	1	1	2	3	4	4	4	
0	-1	-0.5	-0.25	-0.1875	-0.125	0	0.0625	0.125	0.1875	0.25	0.5	1	
0	1	1	1	1	2	2	2	4	6	10	10	10	
0	6.09217	3.04669	1.52395	1.14326	0.881288	0.500603	0.31026	0.137859	0.0436119	-0.0153813	-0.167655	-0.472203	
1	0	0	0	0	1	1	1	3	5	0	0	0	
3	0	0	0	0	1	1	1	0	0	1	1	1	
5	0	0	0	0	1	1	1	3	5	2	2	2	
6	0	0	0	0	0	0	0	1	1	3	3	3	
9	0	0	0	0	0	0	0	2	4	4	4	4	
10	0	0	0	0	1	1	1	0	2	5	5	5	
12	0	0	0	0	0	0	0	2	4	6	6	6	
14	0	0	0	0	0	0	0	1	3	7	7	7	
16	0	0	0	0	0	0	0	2	4	8	8	8	
17	0	0	0	0	1	1	1	3	5	9	9	9	
